,Atomic Number,Symbol,Name,Atomic Mass [kg],Electron Configuration,Electronegativity [Pauling],Atomic Radius [m],Ionization Energy [eV],Electron Affinity [eV],Oxidation States,Standard State,Melting Point [K],Boiling Point [K],Density [kg/m^3],Group Block,Vapor Ref Temperatures [K],Vapor Ref Pressures [Pa],Molar Mass [kg/mol],R_sp [J/kg/K],Heat Capacity [J/kg/K],Heat of Vaporization [J/kg],Heat of Fusion [J/kg],Clausius Constant,Clausius Errors,T(1 Torr) [K]
34,32,Ge,Germanium,1.2060211499999998e-25,[Ar]4s2 3d10 4p2,2.01,2.11e-10,7.9,1.35,"+4, +2",Solid,1211.4,3106.0,5323.0,Metalloid,"[1644.0, 1814.0, 2023.0, 2287.0, 2633.0, 3104.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.07262779967414999,114.47560434574469,320.0,4598790.0156484945,508620.66819777066,24.457735564879506,"[0.02204796079993976, 0.009292484079144181, -0.0053855771045818734, -0.015557344598782996, -0.009928614597664476, 0.0025891458009403845]",2053.2956451093905
35,33,As,Arsenic,1.2440730019499997e-25,[Ar]4s2 3d10 4p3,2.18,1.85e-10,9.815,0.81,"+5, +3, -3",Solid,1090.0,887.0,5776.0,Metalloid,"[553.0, 596.0, 646.0, 706.0, 781.0, 874.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.07491932025043094,110.97419507022525,329.0,432465.2158041121,369731.0641288242,10.630693428407174,"[35.00641338707602, 4.986675280177334, -0.006943230002645295, -0.8341839565138487, -0.9718269536686618, -0.9952090641085065]",679.1633191290044
36,34,Se,Selenium,1.31129685e-25,[Ar]4s2 3d10 4p4,2.55,1.9e-10,9.752,2.021,"+6, +4, -2",Solid,493.65,958.0,4809.0,Nonmetal,"[500.0, 552.0, 617.0, 704.0, 813.0, 958.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.07896760760384999,105.28508476169984,321.0,1209103.363989274,68382.46926625555,23.169905470739156,"[0.22351265485068628, 0.06482443901542712, -0.04691578567701671, -0.049224499328966664, -0.15295932584760152, -0.2814985787216425]",628.3308484186169
37,35,Br,Bromine,1.3267395e-25,[Ar]4s2 3d10 4p5,2.96,1.83e-10,11.814,3.365,"+5, +1, -1",Liquid,265.95,331.95,3110.0,Halogen,"[185.0, 201.0, 220.0, 244.0, 276.0, 332.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.0798975794295,104.05961381265877,474.0,185237.15118377545,72592.93762607417,12.668172561048015,"[20.030579315638068, 3.5237365199544204, -0.027989717265039404, -0.784565732121141, -0.9498043806206102, -0.9851018495376401]",228.94061588378773
38,36,Kr,Krypton,1.3914989999999999e-25,[Ar]4s2 3d10 4p6,3.0,2.02e-10,14.0,,0,Gas,115.79,119.93,3.733,Noble gas,"[59.0, 65.0, 74.0, 84.0, 99.0, 120.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.083797461279,99.2167439574157,248.0,108356.50461734796,19570.998631327166,19.425893797333323,"[1.4977741088462784, 0.37916170394363813, 0.064342160028527, -0.3832427441232098, -0.5577823033254107, -0.6951771411468162]",75.14688130586872
39,37,Rb,Rubidium,1.41919614e-25,[Kr]5s1,0.82,3.03e-10,4.177,0.468,+1,Solid,312.46,961.0,1530.0,Alkali metal,"[434.0, 486.0, 552.0, 641.0, 769.0, 958.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.08546541074694,97.28042242279491,363.0,886557.4896065525,25624.401507698956,21.070948956645605,"[0.07495843094471444, 0.016604192339375823, -0.04308692244569812, -0.05286392391001615, 0.009651661967018388, 0.04608796166193896]",563.3155586116599
40,38,Sr,Strontium,1.4549301e-25,[Kr]5s2,0.95,2.49e-10,5.695,,+2,Solid,1050.0,1655.0,2640.0,Alkaline earth metal,"[796.0, 882.0, 990.0, 1139.0, 1345.0, 1646.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.08761734555209999,94.8911566266998,301.0,1609270.3917417475,84800.56035915733,21.637643260000118,"[0.394056327615387, 0.11297030861862223, -0.09330565972361304, -0.14750923820583894, -0.16615464610462405, -0.16348724590439423]",1012.7945244641098
41,39,Y,Yttrium,1.4762814731999999e-25,[Kr]5s2 4d1,1.22,2.19e-10,6.217,0.307,+3,Solid,1795.0,3618.0,4470.0,Transition metal,"[1883.0, 2075.0, -2320.0, -2627.0, -3036.0, -3607.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.08890314659757718,93.51875133997312,298.0,4386796.3612733185,128454.39601472128,3.4035467962985755,"[-0.9999999995437004, -0.9999999995425713, 181620272.3973814, 1709953.9175442907, 15425.860096469492, 132.67213440074488]",
42,40,Zr,Zirconium,1.5147080999999999e-25,[Kr]5s2 4d2,1.33,1.86e-10,6.634,0.426,+4,Solid,2128.0,4682.0,6520.0,Transition metal,"[2639.0, 2891.0, 3197.0, 3575.0, 4053.0, 4678.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.0912172364901,91.14627432176536,278.0,6281707.51546709,153479.7647758102,26.164083535621717,"[0.04971648795737971, 0.022603855148397356, 0.0015257530294092714, -0.021471954785861724, -0.049427694540203126, -0.07818796200562894]",3239.995633273166
43,41,Nb,Niobium,1.5427102738499999e-25,[Kr]5s1 4d4,1.6,2.0699999999999998e-10,6.759,0.893,"+5, +3",Solid,2750.0,5017.0,8570.0,Transition metal,"[2942.0, 3207.0, 3524.0, 3910.0, 4393.0, 5013.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.09290355540152084,89.49185232004476,265.0,7425980.599109625,322915.5210512955,28.152742251376054,"[-0.05101073978389481, -0.024013290629383954, 0.0006357340516363053, 0.02289098816686197, 0.05484691810366793, 0.09086756489457581]",3567.4760766408954
